Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Function,"AnonymousDerivedProtectedToPublicInImpl::AnonymousDerivedProtectedToPublicInImpl",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Virtual Function,"AnonymousDerivedProtectedToPublicInImpl::~AnonymousDerivedProtectedToPublicInImpl",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Function,"BMPtoUTF8",,,,1,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,1,11,3,8,0,0,0,5,3,5,7,1,0,6,3,3,3,3,2,,,,,2,,1,2,,0.00,,,,
Class,"Baz",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,4,0,4,2,0,0,0,0,,,,1,1,0,0,,,,,,0,0,0,0,,0,,,0,0.00,0,0,0,0
Class,"BlinkGCPluginAction",0,6,0,5,25,2,1,1,2,1,7,0,6,0,1,6,0,,0,0,,,,,3,1,1,0,0,3,3,0,0,0,2,1,,32,5,25,9,9,2,0,0,,,,14,6,0,8,,,,,,3,3,4,1,,1,,,33,0.08,5,5,6,3
Public Function,"BlinkGCPluginAction::BlinkGCPluginAction",,,,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,0,0,3,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Protected Virtual Function,"BlinkGCPluginAction::CreateASTConsumer",,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,1,0,0,0,2,1,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Protected Virtual Function,"BlinkGCPluginAction::ParseArgs",,,,2,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,2,13,4,8,1,0,0,4,3,7,9,2,0,7,3,3,4,1,1,,,,,0,,2,0,,0.08,,,,
Class,"BlinkGCPluginConsumer",0,2,0,1,8,1,1,1,1,1,3,0,2,0,1,1,0,,0,0,,,,,2,0,0,0,0,2,2,0,0,0,0,2,,10,1,8,4,0,1,0,0,,,,2,2,0,0,,,,,,1,1,1,1,,1,,,0,0.13,2,2,2,2
Public Function,"BlinkGCPluginConsumer::BlinkGCPluginConsumer",,,,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,2,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
