release,class_name (class type),cbo,lcom
32,AnonymousDerivedProtectedOnDerived (Class),0,0
32,AnonymousDerivedProtectedToPublicInImpl (Class),0,0
32,BarInterface (Public Class),0,0
32,Baz (Class),1,0
32,CMeasurePageLoadTimeModule (Class),0,0
32,ConcreteVirtualMethodsInHeaders (Class),0,0
32,ConcreteVirtualMethodsInImplementation (Class),0,0
32,ConstructorCallback (Class),3,0
32,ConstructorCallback (Class),3,0
32,EmptyStringConverter (Class),5,0
32,EmptyStringConverter (Class),5,0
32,FactoryFirst (Class),1,0
32,FactoryLast (Class),1,0
32,FactoryMiddle (Class),1,0
32,FactoryRefersToOtherType (Class),1,0
32,FindBadConstructsAction (Class),5,0
32,FindBadConstructsConsumer (Class),8,87
32,FirstFactoryRefersToOtherType (Class),1,0
32,Foo (Class),1,0
32,ImplementationDerivedClass (Class),0,0
32,InitializerCallback (Class),2,0
32,InitializerCallback (Class),2,0
32,InlineInCPPOK (Class),1,50
32,MissingInCPPOK (Class),1,0
32,OnlyMember (Class),1,0
32,PKCS12InitSingleton (Class),0,0
32,PublicRefCountedDtorInImpl (Class),0,0
32,RewriterCallback (Class),6,0
32,TemporaryCallback (Class),3,0
32,TemporaryCallback (Class),3,0
32,UnsafeTypedefChainInImpl (Class),0,0
32,VirtualMethodsInHeaders (Class),0,0
