release,class_name (class type),cbo,lcom
44,AnonymousDerivedProtectedOnDerived (Class),0,0
44,AnonymousDerivedProtectedToPublicInImpl (Class),0,0
44,BarInterface (Public Class),0,0
44,Baz (Class),1,0
44,BlinkGCPluginAction (Class),4,0
44,BlinkGCPluginConsumer (Class),22,93
44,CMeasurePageLoadTimeModule (Class),0,0
44,CallbackData (Class),0,0
44,CheckDispatchVisitor (Class),2,30
44,CheckFieldsVisitor (Class),10,51
44,CheckFinalizerVisitor (Class),8,70
44,CheckGCRootsVisitor (Class),7,55
44,CheckTraceVisitor (Class),7,79
44,CollectVisitor (Class),2,71
44,CompilationIndexerAction (Class),5,50
44,ConcreteVirtualMethodsInHeaders (Class),0,0
44,ConcreteVirtualMethodsInImplementation (Class),0,0
44,ConstructorCallback (Class),3,0
44,CorrectFinal (Class),0,0
44,CorrectOverride (Class),0,0
44,DocumentOpenInDestroyStream (Class),0,0
44,DumpEdgeVisitor (Class),8,50
44,DynamicOidRegisterer (Class),0,0
44,EmptyStmtVisitor (Class),0,19
44,EmptyStringConverter (Class),5,0
44,EvaluateJSAfterRemovingPluginElement (Class),0,0
44,EvaluteJSWithinNPP_New (Class),0,0
44,FactoryFirst (Class),1,0
44,FactoryLast (Class),1,0
44,FactoryMiddle (Class),1,0
44,FactoryRefersToOtherType (Class),1,0
44,FindFieldVisitor (Private Class),0,40
44,FirstFactoryRefersToOtherType (Class),1,0
44,Foo (Class),1,0
44,FormValue (Class),1,0
44,FunctionRewriterCallback (Class),1,0
44,GetRewriterCallback (Class),1,0
44,GetURLNotifyWithURLThatFailsToLoad (Class),0,0
44,GetURLWithJavaScriptURL (Class),0,41
44,GetURLWithJavaScriptURLDestroyingPlugin (Class),0,0
44,GetUserAgentWithNullNPPFromNPPNew (Class),0,0
44,ImplementationDerivedClass (Class),0,0
44,IncludeFinderPPCallbacks (Class),5,52
44,InitializerCallback (Class),2,0
44,InlineInCPPOK (Class),1,50
44,InvokeDestroysPluginWithinNPP_New (Class),0,0
44,LeakWindowScriptableObject (Class),0,0
44,LogNPPSetWindow (Class),0,0
44,MacroRewriterCallback (Class),1,0
44,MightBeCollectedVisitor (Private Class),2,0
44,MissingInCPPOK (Class),1,0
44,MissingOverride (Class),0,0
44,MockEnvEntry (Class),1,33
44,MockFileEntry (Class),1,50
44,MockFileHandle (Class),1,14
44,MockSystem (Class),4,68
44,MyNotTest (Class),0,0
44,MyTest (Class),0,0
44,NPDeallocateCalledBeforeNPShutdown (Class),0,0
44,NPPNewFails (Class),0,0
44,NPPSetWindowCalledDuringDestruction (Class),0,46
44,NPRuntimeCallsWithNullNPP (Class),1,0
44,NPRuntimeObjectFromDestroyedPlugin (Class),0,0
44,NPRuntimeRemoveProperty (Class),0,0
44,NeedsTrace (Class),0,0
44,NoTrace (Class),0,0
44,NotTest (Class),0,0
44,NullNPPGetValuePointer (Class),0,33
44,OnlyMember (Class),1,0
44,OverrideAndFinal (Class),0,0
44,PKCS12InitSingleton (Class),0,0
44,PassDifferentNPPStruct (Class),0,0
44,PluginConsumer (Class),2,0
44,PluginObject (Private Class),0,0
44,PluginObject (Private Class),0,0
44,PluginScriptableNPObjectInvokeDefault (Class),0,0
44,PluginScriptableObjectOverridesAllProperties (Class),0,0
44,ProcMapsInternal (Class),3,33
44,PublicRefCountedDtorInImpl (Class),0,0
44,RDebugRunnable (Class),3,14
44,ScopedDelayedCallbackPoster (Class),3,33
44,ScopedMMap (Class),0,0
44,ScopedMutexLock (Class),0,0
44,ScopedPageReadWriteRemapper (Class),0,11
44,ScopedTestEnv (Class),1,50
44,ScopedTimer (Class),0,0
44,ScriptableObject (Private Class),1,0
44,ScriptableObject (Private Class),1,0
44,SharedLibraryResolver (Class),5,0
44,SlowNPPNew (Class),0,0
44,TemporaryCallback (Class),2,0
44,TestObject (Private Class),0,0
44,TestObject (Private Class),0,0
44,TestSystem (Class),1,33
44,TwoFactories (Class),1,0
44,TwoFactoriesOneBad (Class),1,0
44,UnsafeTypedefChainInImpl (Class),0,0
44,Value (Class),0,33
44,VarRewriterCallback (Class),1,0
44,VirtualAndFinal (Class),0,0
44,VirtualAndOverride (Class),0,0
44,VirtualAndOverrideFinal (Class),0,0
44,VirtualMethodsInHeaders (Class),0,0
