release,class_name (class type),cbo,lcom
30,AnonymousDerivedProtectedOnDerived (Class),0,0
30,AnonymousDerivedProtectedToPublicInImpl (Class),0,0
30,BarInterface (Public Class),0,0
30,Baz (Class),1,0
30,CMeasurePageLoadTimeModule (Class),0,0
30,ConcreteVirtualMethodsInHeaders (Class),0,0
30,ConcreteVirtualMethodsInImplementation (Class),0,0
30,ConstructorCallback (Class),3,0
30,ConstructorCallback (Class),3,0
30,EmptyStringConverter (Class),5,0
30,EmptyStringConverter (Class),5,0
30,FindBadConstructsAction (Class),4,0
30,FindBadConstructsConsumer (Class),7,86
30,Foo (Class),1,0
30,ImplementationDerivedClass (Class),0,0
30,InitializerCallback (Class),2,0
30,InitializerCallback (Class),2,0
30,InlineInCPPOK (Class),1,50
30,MissingInCPPOK (Class),1,0
30,PKCS12InitSingleton (Class),0,0
30,PublicRefCountedDtorInImpl (Class),0,0
30,RewriterCallback (Class),7,0
30,TemporaryCallback (Class),2,0
30,TemporaryCallback (Class),2,0
30,UnsafeTypedefChainInImpl (Class),0,0
30,VirtualMethodsInHeaders (Class),0,0
