release,class_name (class type),cbo,lcom
34,AnonymousDerivedProtectedOnDerived (Class),0,0
34,AnonymousDerivedProtectedToPublicInImpl (Class),0,0
34,AttributesCollector (Class),1,0
34,BarInterface (Public Class),0,0
34,Baz (Class),1,0
34,BlinkGCPluginAction (Class),6,33
34,BlinkGCPluginConsumer (Class),1,0
34,CMeasurePageLoadTimeModule (Class),0,0
34,ClientCallTask (Class),1,0
34,ConcreteVirtualMethodsInHeaders (Class),0,0
34,ConcreteVirtualMethodsInImplementation (Class),0,0
34,ConstructorCallback (Class),3,0
34,ConstructorCallback (Class),3,0
34,CppVariantPropertyCallback (Class),0,0
34,DTMFSenderToneTask (Class),1,0
34,DataChannelReadyStateTask (Class),1,0
34,DidStartSessionTask (Class),1,0
34,DocumentOpenInDestroyStream (Class),0,0
34,EmptyStringConverter (Class),5,0
34,EmptyStringConverter (Class),5,0
34,ErrorTask (Class),3,0
34,EvaluateJSAfterRemovingPluginElement (Class),0,0
34,EvaluteJSWithinNPP_New (Class),0,0
34,FactoryFirst (Class),1,0
34,FactoryLast (Class),1,0
34,FactoryMiddle (Class),1,0
34,FactoryRefersToOtherType (Class),1,0
34,FindBadConstructsAction (Class),5,0
34,FindBadConstructsConsumer (Class),11,87
34,FirstFactoryRefersToOtherType (Class),1,0
34,Foo (Class),1,0
34,FormValue (Class),1,0
34,GetURLNotifyWithURLThatFailsToLoad (Class),0,0
34,GetURLWithJavaScriptURL (Class),1,33
34,GetURLWithJavaScriptURLDestroyingPlugin (Class),0,0
34,GetUserAgentWithNullNPPFromNPPNew (Class),0,0
34,GetterPropertyCallback (Class),0,33
34,HostMethodTask (Class),0,0
34,HostMethodTask (Class),0,0
34,HostMethodTask (Class),0,0
34,HostMethodTask (Class),0,0
34,ImplementationDerivedClass (Class),0,0
34,InitializerCallback (Class),2,0
34,InitializerCallback (Class),2,0
34,InlineInCPPOK (Class),1,50
34,InvokeCallbackTask (Class),1,0
34,InvokeDestroysPluginWithinNPP_New (Class),0,0
34,KeyDownTask (Class),0,0
34,LeakWindowScriptableObject (Class),0,0
34,LogNPPSetWindow (Class),0,0
34,MediaDevicesRequestTask (Class),0,0
34,MissingInCPPOK (Class),1,0
34,MockExtraData (Class),0,0
34,MockWebAudioDestinationConsumer (Class),0,0
34,MouseDownTask (Class),1,0
34,MouseUpTask (Class),0,0
34,NPDeallocateCalledBeforeNPShutdown (Class),0,0
34,NPPNewFails (Class),0,0
34,NPPSetWindowCalledDuringDestruction (Class),0,46
34,NPRuntimeCallsWithNullNPP (Class),1,0
34,NPRuntimeObjectFromDestroyedPlugin (Class),0,0
34,NPRuntimeRemoveProperty (Class),0,0
34,NoMatchTask (Class),1,0
34,NullNPPGetValuePointer (Class),0,33
34,OnlyMember (Class),1,0
34,PKCS12InitSingleton (Class),0,0
34,PassDifferentNPPStruct (Class),0,0
34,PluginObject (Private Class),0,0
34,PluginObject (Private Class),0,0
34,PluginScriptableNPObjectInvokeDefault (Class),0,0
34,PluginScriptableObjectOverridesAllProperties (Class),0,0
34,PublicRefCountedDtorInImpl (Class),0,0
34,RTCPeerConnectionStateTask (Class),1,0
34,RTCSessionDescriptionRequestFailedTask (Class),0,0
34,RTCSessionDescriptionRequestSuccededTask (Class),0,0
34,RTCStatsRequestSucceededTask (Class),0,0
34,RTCVoidRequestTask (Class),0,0
34,RemoteDataChannelTask (Class),1,0
34,ResultTask (Class),2,0
34,RewriterCallback (Class),6,0
34,ScriptableObject (Private Class),1,0
34,ScriptableObject (Private Class),1,0
34,SlowNPPNew (Class),0,0
34,TemporaryCallback (Class),2,0
34,TemporaryCallback (Class),2,0
34,TestObject (Private Class),0,0
34,TestObject (Private Class),0,0
34,UnsafeTypedefChainInImpl (Class),0,0
34,UserMediaRequestConstraintFailedTask (Class),1,0
34,UserMediaRequestPermissionDeniedTask (Class),0,0
34,UserMediaRequestTask (Class),0,0
34,VirtualMethodsInHeaders (Class),0,0
34,WorkItemBackForward (Class),0,0
34,WorkItemLoad (Class),0,0
34,WorkItemLoadHTMLString (Class),1,11
34,WorkItemLoadingScript (Class),0,0
34,WorkItemNonLoadingScript (Class),0,0
34,WorkItemReload (Class),0,0
