release,class_name (class type),cbo,lcom
33,AnonymousDerivedProtectedOnDerived (Class),0,0
33,AnonymousDerivedProtectedToPublicInImpl (Class),0,0
33,BarInterface (Public Class),0,0
33,Baz (Class),1,0
33,CMeasurePageLoadTimeModule (Class),0,0
33,ConcreteVirtualMethodsInHeaders (Class),0,0
33,ConcreteVirtualMethodsInImplementation (Class),0,0
33,ConstructorCallback (Class),3,0
33,ConstructorCallback (Class),3,0
33,EmptyStringConverter (Class),5,0
33,EmptyStringConverter (Class),5,0
33,FactoryFirst (Class),1,0
33,FactoryLast (Class),1,0
33,FactoryMiddle (Class),1,0
33,FactoryRefersToOtherType (Class),1,0
33,FindBadConstructsAction (Class),5,0
33,FindBadConstructsConsumer (Class),8,87
33,FirstFactoryRefersToOtherType (Class),1,0
33,Foo (Class),1,0
33,ImplementationDerivedClass (Class),0,0
33,InitializerCallback (Class),2,0
33,InitializerCallback (Class),2,0
33,InlineInCPPOK (Class),1,50
33,MissingInCPPOK (Class),1,0
33,OnlyMember (Class),1,0
33,PKCS12InitSingleton (Class),0,0
33,PublicRefCountedDtorInImpl (Class),0,0
33,RewriterCallback (Class),6,0
33,TemporaryCallback (Class),2,0
33,TemporaryCallback (Class),2,0
33,UnsafeTypedefChainInImpl (Class),0,0
33,VirtualMethodsInHeaders (Class),0,0
