release,class_name (class type),cbo,lcom
27,AnonymousDerivedProtectedOnDerived (Class),0,0
27,AnonymousDerivedProtectedToPublicInImpl (Class),0,0
27,BarInterface (Public Class),0,0
27,Baz (Class),1,0
27,CMeasurePageLoadTimeModule (Class),0,0
27,ConcreteVirtualMethodsInHeaders (Class),0,0
27,ConcreteVirtualMethodsInImplementation (Class),0,0
27,FindBadConstructsAction (Class),4,0
27,FindBadConstructsConsumer (Class),7,86
27,Foo (Class),1,0
27,ImplementationDerivedClass (Class),0,0
27,InlineInCPPOK (Class),1,50
27,MesaDriver (Class),2,86
27,MissingInCPPOK (Class),1,0
27,PKCS12InitSingleton (Class),0,0
27,PublicRefCountedDtorInImpl (Class),0,0
27,UnsafeTypedefChainInImpl (Class),0,0
27,VirtualMethodsInHeaders (Class),0,0
27,acp_entry (Class),2,0
27,acp_entry (Class),2,0
27,array_index_visit (Class),2,33
27,assignment_entry (Class),2,0
27,call_link_visitor (Class),11,50
27,examine_rhs (Class),3,0
27,find_assignment_visitor (Class),8,12
27,find_deref_visitor (Class),2,16
27,fixup_ir_call_visitor (Class),3,0
27,fs_inst (Class),2,74
27,fs_reg (Class),3,61
27,fs_visitor (Class),39,89
27,function_entry (Class),3,0
27,get_sampler_name (Class),7,35
27,import_prototype_visitor (Class),6,31
27,ir_algebraic_visitor (Class),7,57
27,ir_channel_expressions_visitor (Class),7,25
27,ir_constant_folding_visitor (Class),12,40
27,ir_constant_propagation_visitor (Class),22,56
27,ir_constant_variable_visitor (Class),12,25
27,ir_copy_propagation_visitor (Class),18,55
27,ir_dead_functions_visitor (Class),5,66
27,ir_div_to_mul_rcp_visitor (Class),4,0
27,ir_explog_to_explog2_visitor (Class),3,0
27,ir_expression_flattening_visitor (Class),7,33
27,ir_function_can_inline_visitor (Class),1,0
27,ir_function_inlining_visitor (Class),9,62
27,ir_has_call_visitor (Class),1,0
27,ir_if_simplification_visitor (Class),8,0
27,ir_if_to_cond_assign_visitor (Class),9,0
27,ir_mat_op_to_vec_visitor (Class),12,38
27,ir_mod_to_fract_visitor (Class),7,0
27,ir_noop_swizzle_visitor (Class),5,0
27,ir_sampler_replacement_visitor (Class),11,75
27,ir_set_program_inouts_visitor (Class),10,33
27,ir_structure_reference_visitor (Class),10,68
27,ir_structure_splitting_visitor (Class),14,83
27,ir_sub_to_add_neg_visitor (Class),2,0
27,ir_swizzle_swizzle_visitor (Class),3,0
27,ir_to_mesa_instruction (Class),4,100
27,ir_to_mesa_visitor (Class),36,87
27,ir_tree_grafting_visitor (Class),19,78
27,ir_validate (Class),12,66
27,ir_vec_index_to_cond_assign_visitor (Class),16,62
27,ir_vec_index_to_swizzle_visitor (Class),12,75
27,ir_vector_reference_visitor (Class),7,68
27,ir_vector_splitting_visitor (Class),8,62
27,kill_entry (Class),1,0
27,kill_entry (Class),1,0
27,kill_for_derefs_visitor (Class),6,0
27,loop_analysis (Class),13,47
27,loop_control_visitor (Class),13,0
27,loop_unroll_visitor (Class),8,0
27,lower_noise_visitor (Class),4,0
27,redundant_jumps_visitor (Class),6,0
27,remap_visitor (Class),6,0
27,signature_entry (Class),1,0
27,symbol_table_entry (Class),3,40
27,variable_entry (Class),1,60
27,variable_entry2 (Class),1,0
27,variable_index_to_cond_assign_visitor (Class),13,63
27,variable_storage (Class),1,0
