release,class_name (class type),cbo,lcom
25,AnonymousDerivedProtectedToPublicInImpl (Class),0,0
25,BMPImageDecoderTest (Class),1,100
25,BarInterface (Public Class),0,0
25,Baz (Class),1,0
25,CMeasurePageLoadTimeModule (Class),0,0
25,ConcreteVirtualMethodsInHeaders (Class),0,0
25,ConcreteVirtualMethodsInImplementation (Class),0,0
25,FindBadConstructsAction (Class),4,0
25,FindBadConstructsConsumer (Class),4,81
25,FontConfigTypeface (Class),1,0
25,Foo (Class),1,0
25,ICOImageDecoderTest (Class),1,0
25,ImplementationDerivedClass (Class),0,0
25,InlineInCPPOK (Class),1,50
25,MesaDriver (Class),2,86
25,MissingInCPPOK (Class),1,0
25,PKCS12InitSingleton (Class),0,0
25,PublicRefCountedDtorInImpl (Class),0,0
25,Shaper (Class),0,0
25,SkFileDescriptorStream (Class),1,33
25,UnsafeTypedefChainInImpl (Class),0,0
25,VirtualMethodsInHeaders (Class),0,0
25,acp_entry (Class),2,0
25,acp_entry (Class),2,0
25,array_index_visit (Class),2,33
25,assignment_entry (Class),2,0
25,call_link_visitor (Class),11,50
25,examine_rhs (Class),3,0
25,find_assignment_visitor (Class),8,12
25,find_deref_visitor (Class),2,16
25,fixup_ir_call_visitor (Class),3,0
25,fs_inst (Class),2,74
25,fs_reg (Class),3,61
25,fs_visitor (Class),39,89
25,function_entry (Class),3,0
25,get_sampler_name (Class),7,35
25,import_prototype_visitor (Class),6,31
25,ir_algebraic_visitor (Class),7,57
25,ir_channel_expressions_visitor (Class),7,25
25,ir_constant_folding_visitor (Class),12,40
25,ir_constant_propagation_visitor (Class),22,56
25,ir_constant_variable_visitor (Class),12,25
25,ir_copy_propagation_visitor (Class),18,55
25,ir_dead_functions_visitor (Class),5,66
25,ir_div_to_mul_rcp_visitor (Class),4,0
25,ir_explog_to_explog2_visitor (Class),3,0
25,ir_expression_flattening_visitor (Class),7,33
25,ir_function_can_inline_visitor (Class),1,0
25,ir_function_inlining_visitor (Class),9,62
25,ir_has_call_visitor (Class),1,0
25,ir_if_simplification_visitor (Class),8,0
25,ir_if_to_cond_assign_visitor (Class),9,0
25,ir_mat_op_to_vec_visitor (Class),12,38
25,ir_mod_to_fract_visitor (Class),7,0
25,ir_noop_swizzle_visitor (Class),5,0
25,ir_sampler_replacement_visitor (Class),11,75
25,ir_set_program_inouts_visitor (Class),10,33
25,ir_structure_reference_visitor (Class),10,68
25,ir_structure_splitting_visitor (Class),14,83
25,ir_sub_to_add_neg_visitor (Class),2,0
25,ir_swizzle_swizzle_visitor (Class),3,0
25,ir_to_mesa_instruction (Class),4,100
25,ir_to_mesa_visitor (Class),36,87
25,ir_tree_grafting_visitor (Class),19,78
25,ir_validate (Class),12,66
25,ir_vec_index_to_cond_assign_visitor (Class),16,62
25,ir_vec_index_to_swizzle_visitor (Class),12,75
25,ir_vector_reference_visitor (Class),7,68
25,ir_vector_splitting_visitor (Class),8,62
25,kill_entry (Class),1,0
25,kill_entry (Class),1,0
25,kill_for_derefs_visitor (Class),6,0
25,loop_analysis (Class),13,47
25,loop_control_visitor (Class),13,0
25,loop_unroll_visitor (Class),8,0
25,lower_noise_visitor (Class),4,0
25,redundant_jumps_visitor (Class),6,0
25,remap_visitor (Class),6,0
25,signature_entry (Class),1,0
25,symbol_table_entry (Class),3,40
25,tst_CharAttributes (Class),1,100
25,tst_QScriptEngine (Class),1,100
25,variable_entry (Class),1,60
25,variable_entry2 (Class),1,0
25,variable_index_to_cond_assign_visitor (Class),13,63
25,variable_storage (Class),1,0
